call_id,operator_id,client_id,timestamp_start,timestamp_end,wait_time,call_duration,status,call_type,reason,resolution,customer_satisfaction
34,18,87530,2025-01-19 11:41:43,2025-01-19 11:43:37,88,26,answered,inbound,contract,resolved,5
35,4,34941,2025-01-23 09:00:03,2025-01-23 09:09:48,25,560,answered,inbound,contract,resolved,5
36,14,69347,2025-01-08 08:25:13,2025-01-08 08:34:13,21,519,answered,inbound,technical,resolved,4
37,18,86629,2025-01-14 10:31:35,2025-01-14 10:32:15,9,31,answered,inbound,technical,resolved,4
38,9,43025,2025-01-20 10:18:44,2025-01-20 10:23:47,8,295,answered,outbound,technical,resolved,3
39,2,21651,2025-01-07 15:13:28,2025-01-07 15:18:56,189,139,answered,inbound,billing,resolved,4
40,20,93254,2025-01-10 11:10:10,2025-01-10 11:11:15,2,63,answered,inbound,technical,resolved,5
41,15,59823,2025-01-15 15:23:21,2025-01-15 15:24:51,1,89,answered,inbound,technical,resolved,2
42,7,58122,2025-01-17 14:54:20,2025-01-17 15:04:32,12,600,answered,inbound,contract,unresolved,1
43,12,23589,2025-01-06 16:34:43,2025-01-06 16:36:14,18,73,answered,inbound,contract,resolved,5
44,8,49768,2025-01-04 16:14:44,2025-01-04 16:15:46,19,43,answered,inbound,billing,unresolved,3
45,15,74986,2025-01-26 19:49:13,2025-01-26 19:51:14,8,113,answered,outbound,technical,resolved,5
46,3,95558,2025-01-13 16:30:04,2025-01-13 16:34:46,111,171,answered,inbound,technical,unresolved,1
47,14,10234,2025-01-19 15:12:40,2025-01-19 15:15:12,92,60,answered,outbound,contract,resolved,4
48,17,82370,2025-01-17 12:08:42,2025-01-17 12:13:36,27,267,answered,outbound,other,unresolved,2
49,4,25055,2025-01-02 08:39:14,2025-01-02 08:42:57,56,167,answered,inbound,technical,resolved,5
50,18,78743,2025-01-22 09:34:52,2025-01-22 09:42:55,10,473,answered,inbound,contract,resolved,1
51,8,12400,2025-01-17 09:58:27,2025-01-17 10:00:53,77,69,abandoned,inbound,technical,unresolved,2
52,4,85145,2025-01-17 18:22:54,2025-01-17 18:26:31,21,196,answered,inbound,billing,resolved,4
53,2,97009,2025-01-26 12:25:05,2025-01-26 12:31:40,5,390,answered,outbound,billing,resolved,5
54,6,99471,2025-01-29 10:42:33,2025-01-29 10:43:46,63,10,answered,inbound,contract,unresolved,2
55,10,64157,2025-01-10 16:01:13,2025-01-10 16:03:41,26,122,missed,inbound,technical,unresolved,1
56,4,99410,2025-01-17 16:39:39,2025-01-17 16:42:41,37,145,missed,inbound,other,unresolved,2
57,18,70598,2025-01-07 16:26:47,2025-01-07 16:30:33,99,127,answered,inbound,technical,resolved,3
58,12,35015,2025-01-19 15:48:32,2025-01-19 15:50:07,33,62,answered,inbound,billing,unresolved,2
59,2,89720,2025-01-27 13:14:43,2025-01-27 13:15:12,12,17,answered,inbound,billing,resolved,5
60,10,76186,2025-01-24 15:57:00,2025-01-24 16:03:16,16,360,answered,inbound,billing,resolved,4
61,4,74430,2025-01-11 08:56:47,2025-01-11 09:00:12,77,128,answered,inbound,billing,resolved,3
62,14,59185,2025-01-25 14:32:28,2025-01-25 14:33:48,67,13,answered,inbound,technical,resolved,5
63,16,72306,2025-01-26 09:07:55,2025-01-26 09:10:23,53,95,answered,outbound,contract,unresolved,1
64,15,29416,2025-01-11 12:49:18,2025-01-11 12:49:59,5,36,answered,inbound,billing,resolved,5
65,8,88655,2025-01-21 10:25:32,2025-01-21 10:26:46,8,66,answered,outbound,billing,resolved,3
66,14,83180,2025-01-30 13:04:18,2025-01-30 13:10:11,48,305,answered,outbound,billing,resolved,5
67,8,60262,2025-01-09 17:23:38,2025-01-09 17:26:03,13,132,answered,outbound,other,unresolved,2
68,16,84189,2025-01-12 18:49:41,2025-01-12 18:51:18,49,48,answered,inbound,other,resolved,5
69,13,89952,2025-01-21 12:37:53,2025-01-21 12:43:39,47,299,answered,outbound,other,resolved,3
70,18,63662,2025-01-03 18:35:32,2025-01-03 18:36:45,35,38,answered,inbound,other,resolved,3
71,15,77410,2025-01-11 08:04:43,2025-01-11 08:08:49,178,68,answered,inbound,technical,resolved,4
72,13,62191,2025-01-20 14:38:03,2025-01-20 14:39:35,82,10,answered,outbound,other,unresolved,1
73,9,85965,2025-01-26 09:09:19,2025-01-26 09:18:50,5,566,answered,outbound,other,resolved,4
74,15,22213,2025-01-24 09:36:12,2025-01-24 09:38:41,52,97,answered,inbound,other,unresolved,2
75,13,58987,2025-01-23 17:21:44,2025-01-23 17:23:31,75,32,answered,inbound,billing,resolved,2
76,1,93176,2025-01-14 16:17:19,2025-01-14 16:20:50,82,129,answered,outbound,other,resolved,5
77,7,69783,2025-01-23 19:07:04,2025-01-23 19:07:52,28,20,answered,inbound,technical,resolved,4
78,9,71353,2025-01-21 11:56:43,2025-01-21 12:04:53,77,413,answered,inbound,technical,resolved,4
79,1,25802,2025-01-16 17:19:50,2025-01-16 17:21:18,77,11,answered,inbound,billing,unresolved,3
80,12,91658,2025-01-25 14:24:35,2025-01-25 14:28:01,32,174,answered,inbound,technical,resolved,5
81,8,70646,2025-01-19 17:39:15,2025-01-19 17:46:26,31,400,answered,inbound,other,resolved,4
82,11,97189,2025-01-04 17:50:47,2025-01-04 17:52:16,38,51,answered,inbound,other,unresolved,1
83,19,53671,2025-01-12 11:31:01,2025-01-12 11:31:25,6,18,answered,inbound,technical,resolved,5
84,17,99637,2025-01-28 18:19:22,2025-01-28 18:22:07,53,112,answered,inbound,technical,unresolved,1
85,8,76945,2025-01-13 10:16:09,2025-01-13 10:20:17,88,160,abandoned,inbound,contract,unresolved,3
86,3,53388,2025-01-08 13:13:18,2025-01-08 13:14:51,32,61,answered,outbound,other,unresolved,3
87,3,44600,2025-01-24 13:32:56,2025-01-24 13:34:59,53,70,missed,inbound,other,unresolved,2
88,1,93944,2025-01-11 16:24:13,2025-01-11 16:27:44,29,182,abandoned,inbound,other,unresolved,1
89,5,70690,2025-01-13 19:53:37,2025-01-13 20:05:26,33,676,missed,inbound,contract,unresolved,2
90,10,15736,2025-01-29 11:23:40,2025-01-29 11:25:53,34,99,answered,inbound,other,resolved,2
91,7,80529,2025-01-28 14:38:12,2025-01-28 14:40:08,11,105,answered,inbound,technical,resolved,4
92,9,53871,2025-01-02 09:59:14,2025-01-02 10:06:18,57,367,answered,outbound,technical,resolved,5
93,7,57165,2025-01-26 18:01:51,2025-01-26 18:03:40,21,88,answered,outbound,technical,resolved,3
94,9,66786,2025-01-25 12:33:51,2025-01-25 12:35:04,2,71,answered,outbound,technical,resolved,1
95,8,41247,2025-01-07 12:42:07,2025-01-07 12:44:25,26,112,answered,inbound,technical,resolved,5
96,12,38821,2025-01-17 12:03:34,2025-01-17 12:03:49,5,10,answered,inbound,technical,resolved,1
97,2,13213,2025-01-07 17:31:42,2025-01-07 17:40:00,64,434,abandoned,inbound,billing,unresolved,1
98,1,39495,2025-01-01 13:23:49,2025-01-01 13:24:14,7,18,answered,inbound,technical,resolved,4
99,16,81744,2025-01-22 18:00:28,2025-01-22 18:08:56,93,415,abandoned,inbound,technical,unresolved,2
100,5,19644,2025-01-16 13:37:20,2025-01-16 13:46:56,87,489,answered,inbound,contract,unresolved,1
101,3,16453,2025-01-23 12:29:39,2025-01-23 12:37:36,87,390,answered,inbound,technical,resolved,4
102,12,86629,2025-01-18 13:04:41,2025-01-18 13:05:12,15,16,answered,outbound,technical,unresolved,2
103,8,21263,2025-01-18 18:12:54,2025-01-18 18:15:31,15,142,missed,inbound,technical,unresolved,3
104,3,66480,2025-01-20 13:20:03,2025-01-20 13:21:38,17,78,answered,inbound,contract,resolved,4
105,1,75841,2025-01-13 09:12:12,2025-01-13 09:14:10,85,33,answered,inbound,technical,unresolved,2
106,3,42021,2025-01-07 12:34:37,2025-01-07 12:37:16,19,140,answered,inbound,other,resolved,4
107,5,27958,2025-01-08 18:57:25,2025-01-08 18:58:08,33,10,answered,inbound,billing,resolved,3
108,15,76408,2025-01-12 09:42:57,2025-01-12 09:46:23,141,65,answered,outbound,billing,resolved,2
109,14,51128,2025-01-28 11:34:54,2025-01-28 11:37:54,47,133,answered,inbound,billing,resolved,3
110,3,97498,2025-01-10 15:39:45,2025-01-10 15:52:39,63,711,answered,inbound,technical,unresolved,1
111,1,52563,2025-01-04 17:17:53,2025-01-04 17:20:28,24,131,answered,outbound,technical,resolved,3
112,5,27414,2025-01-15 10:23:34,2025-01-15 10:25:37,56,67,answered,inbound,contract,resolved,4
113,14,85462,2025-01-02 16:08:56,2025-01-02 16:12:24,64,144,answered,inbound,technical,resolved,4
114,7,65883,2025-01-03 09:45:15,2025-01-03 09:46:10,45,10,answered,inbound,contract,unresolved,2
115,9,47210,2025-01-14 11:01:15,2025-01-14 11:11:10,290,305,answered,inbound,billing,unresolved,3
116,15,25290,2025-01-08 17:00:17,2025-01-08 17:07:17,3,417,abandoned,inbound,billing,unresolved,1
117,15,13667,2025-01-22 16:25:43,2025-01-22 16:27:04,71,10,answered,inbound,technical,unresolved,1
118,10,27660,2025-01-05 12:34:39,2025-01-05 12:35:29,9,41,answered,outbound,technical,resolved,5
119,13,82089,2025-01-28 13:25:31,2025-01-28 13:26:20,39,10,answered,inbound,billing,resolved,4
120,19,92462,2025-01-28 09:43:43,2025-01-28 09:51:46,67,416,missed,inbound,contract,unresolved,2
121,7,67698,2025-01-21 11:58:41,2025-01-21 11:59:32,41,10,answered,outbound,technical,resolved,2
122,17,14808,2025-01-09 11:23:32,2025-01-09 11:23:54,12,10,answered,outbound,other,resolved,3
123,20,50499,2025-01-05 16:02:10,2025-01-05 16:04:57,14,153,answered,inbound,technical,unresolved,1
124,4,38015,2025-01-13 13:10:57,2025-01-13 13:12:10,36,37,answered,inbound,contract,resolved,4
125,5,43351,2025-01-06 18:21:03,2025-01-06 18:30:23,94,466,answered,inbound,billing,resolved,5
126,7,59662,2025-01-07 10:53:09,2025-01-07 10:58:52,42,301,answered,inbound,billing,unresolved,2
127,13,84674,2025-01-05 10:17:27,2025-01-05 10:18:32,22,43,answered,outbound,technical,resolved,1
128,15,46241,2025-01-17 15:00:04,2025-01-17 15:03:09,80,105,missed,outbound,billing,unresolved,2
129,11,11198,2025-01-21 08:56:20,2025-01-21 09:02:06,14,332,answered,inbound,technical,resolved,5
130,4,22113,2025-01-09 18:21:38,2025-01-09 18:22:17,29,10,abandoned,inbound,contract,unresolved,1
131,13,48639,2025-01-07 09:13:15,2025-01-07 09:15:24,14,115,abandoned,outbound,technical,unresolved,3
132,7,74036,2025-01-05 09:03:43,2025-01-05 09:06:34,61,110,answered,outbound,technical,resolved,5
133,19,95223,2025-01-19 19:44:26,2025-01-19 19:52:47,8,493,answered,outbound,technical,resolved,3
134,2,77983,2025-01-06 18:46:20,2025-01-06 18:48:17,42,75,answered,inbound,billing,resolved,3
135,10,84944,2025-01-17 09:12:22,2025-01-17 09:13:47,43,42,answered,outbound,contract,resolved,4
136,13,27674,2025-01-25 08:03:29,2025-01-25 08:06:25,107,69,answered,inbound,contract,resolved,4
137,6,22413,2025-01-15 18:02:11,2025-01-15 18:03:36,23,62,answered,inbound,billing,resolved,4
138,12,64986,2025-01-12 18:15:28,2025-01-12 18:21:00,27,305,answered,inbound,billing,resolved,5
139,12,57937,2025-01-21 12:44:43,2025-01-21 12:48:46,36,207,missed,inbound,technical,unresolved,1
140,20,83085,2025-01-10 17:42:49,2025-01-10 17:44:37,5,103,abandoned,inbound,other,unresolved,1
141,11,33071,2025-01-05 11:12:16,2025-01-05 11:18:28,24,348,answered,outbound,other,resolved,3
142,7,84229,2025-01-12 08:00:07,2025-01-12 08:02:54,6,161,answered,inbound,billing,unresolved,2
143,1,53831,2025-01-16 10:24:30,2025-01-16 10:25:55,62,23,answered,inbound,billing,resolved,3
144,1,92306,2025-01-10 09:56:58,2025-01-10 10:00:37,15,204,answered,inbound,other,resolved,4
145,20,51371,2025-01-25 11:03:51,2025-01-25 11:05:08,22,55,answered,inbound,billing,resolved,5
146,13,77542,2025-01-12 08:20:28,2025-01-12 08:24:08,13,207,answered,inbound,other,resolved,4
147,9,15213,2025-01-22 11:39:15,2025-01-22 11:41:36,11,130,answered,inbound,other,resolved,4
148,3,73815,2025-01-15 10:10:56,2025-01-15 10:18:01,175,250,answered,inbound,technical,resolved,5
149,7,61299,2025-01-13 14:39:54,2025-01-13 14:43:03,71,118,abandoned,inbound,billing,unresolved,3
150,6,46636,2025-01-09 09:19:01,2025-01-09 09:25:50,23,386,answered,inbound,other,resolved,4
151,8,73948,2025-01-08 09:55:53,2025-01-08 09:58:24,70,81,answered,inbound,technical,unresolved,1
152,9,85066,2025-01-07 18:30:21,2025-01-07 18:32:09,45,63,answered,inbound,contract,resolved,5
153,5,57128,2025-01-30 19:24:51,2025-01-30 19:25:57,21,45,answered,outbound,contract,resolved,4
154,1,82173,2025-01-01 16:47:15,2025-01-01 16:49:36,1,140,answered,inbound,technical,unresolved,1
155,19,59504,2025-01-29 17:23:16,2025-01-29 17:25:54,97,61,answered,inbound,technical,resolved,3
156,10,80500,2025-01-29 17:05:13,2025-01-29 17:09:11,10,228,answered,inbound,technical,resolved,3
157,12,62340,2025-01-26 19:27:46,2025-01-26 19:29:27,51,50,answered,inbound,contract,resolved,4
158,15,44070,2025-01-04 18:01:18,2025-01-04 18:04:35,67,130,missed,inbound,contract,unresolved,1
159,9,83285,2025-01-28 19:56:20,2025-01-28 19:59:49,35,174,missed,inbound,technical,unresolved,2
160,20,76382,2025-01-23 09:39:02,2025-01-23 09:41:42,42,118,answered,inbound,billing,resolved,5
161,17,88926,2025-01-01 15:42:26,2025-01-01 15:42:38,2,10,abandoned,inbound,billing,unresolved,2
162,17,89271,2025-01-09 15:16:27,2025-01-09 15:18:12,32,73,abandoned,inbound,technical,unresolved,3
163,20,99441,2025-01-07 14:03:28,2025-01-07 14:09:15,14,333,answered,outbound,contract,resolved,2
164,12,24876,2025-01-13 19:55:36,2025-01-13 19:59:48,33,219,abandoned,inbound,contract,unresolved,3
165,7,89503,2025-01-29 19:51:28,2025-01-29 20:05:27,37,802,abandoned,inbound,technical,unresolved,3
166,2,61676,2025-01-05 18:01:03,2025-01-05 18:02:08,3,62,answered,outbound,contract,resolved,4
167,3,28262,2025-01-10 15:38:43,2025-01-10 15:47:05,22,480,answered,inbound,technical,resolved,5
168,17,95550,2025-01-08 14:22:26,2025-01-08 14:25:21,75,100,answered,outbound,technical,resolved,2
169,5,34054,2025-01-23 09:34:16,2025-01-23 09:34:34,5,13,answered,inbound,other,unresolved,2
170,17,33051,2025-01-15 09:09:53,2025-01-15 09:12:08,55,80,missed,inbound,billing,unresolved,2
171,17,38385,2025-01-02 08:30:15,2025-01-02 08:31:27,32,40,abandoned,inbound,billing,unresolved,3
172,17,45587,2025-01-24 16:06:18,2025-01-24 16:07:56,38,60,answered,inbound,technical,resolved,5
173,2,65131,2025-01-16 08:35:44,2025-01-16 08:36:57,0,73,answered,inbound,technical,resolved,3
174,2,37653,2025-01-10 18:50:14,2025-01-10 18:52:40,79,67,answered,inbound,technical,resolved,4
175,5,54790,2025-01-11 10:01:42,2025-01-11 10:03:25,93,10,answered,outbound,technical,unresolved,2
176,1,52018,2025-01-10 10:26:04,2025-01-10 10:27:45,39,62,missed,inbound,other,unresolved,2
177,1,70992,2025-01-15 11:48:32,2025-01-15 11:54:10,177,161,answered,outbound,other,resolved,3
178,19,64840,2025-01-01 19:41:40,2025-01-01 19:46:23,14,269,answered,inbound,billing,unresolved,2
179,2,95184,2025-01-09 16:57:51,2025-01-09 16:58:10,9,10,answered,inbound,technical,resolved,4
180,12,97943,2025-01-20 17:22:28,2025-01-20 17:22:52,6,18,answered,outbound,contract,resolved,3
181,6,54561,2025-01-19 17:34:51,2025-01-19 17:37:53,7,175,answered,outbound,contract,unresolved,2
182,4,92594,2025-01-27 13:48:26,2025-01-27 13:48:41,1,14,answered,inbound,technical,unresolved,3
183,11,20070,2025-01-30 10:11:46,2025-01-30 10:12:44,48,10,answered,inbound,billing,resolved,3
184,17,49025,2025-01-05 18:46:51,2025-01-05 18:48:58,59,68,answered,inbound,other,resolved,5
185,6,43779,2025-01-24 16:39:10,2025-01-24 16:42:42,0,212,answered,inbound,technical,resolved,4
186,5,26616,2025-01-27 16:15:13,2025-01-27 16:21:07,10,344,answered,outbound,contract,resolved,4
187,20,10797,2025-01-15 15:41:12,2025-01-15 15:43:37,9,136,answered,inbound,technical,unresolved,3
188,2,49889,2025-01-01 14:08:48,2025-01-01 14:11:24,40,116,abandoned,outbound,technical,unresolved,2
189,6,74390,2025-01-26 08:41:44,2025-01-26 08:45:00,62,134,answered,inbound,other,resolved,2
190,11,23594,2025-01-18 12:28:27,2025-01-18 12:31:03,50,106,answered,outbound,technical,resolved,5
191,16,57754,2025-01-24 15:41:19,2025-01-24 15:46:49,57,273,missed,outbound,technical,unresolved,2
192,16,63639,2025-01-07 14:40:47,2025-01-07 14:44:29,49,173,answered,outbound,billing,resolved,4
193,1,83226,2025-01-15 16:34:12,2025-01-15 16:35:37,57,28,abandoned,outbound,billing,unresolved,1
194,9,22669,2025-01-11 15:20:52,2025-01-11 15:29:44,33,499,answered,outbound,billing,resolved,2
195,6,94509,2025-01-24 13:09:57,2025-01-24 13:11:05,31,37,answered,outbound,technical,unresolved,3
196,16,31085,2025-01-17 11:40:20,2025-01-17 11:42:03,69,34,answered,outbound,technical,unresolved,2
197,3,38787,2025-01-14 11:58:44,2025-01-14 12:00:43,37,82,answered,outbound,billing,resolved,5
198,20,34051,2025-01-26 08:24:55,2025-01-26 08:26:25,6,84,answered,inbound,technical,resolved,2
199,4,65566,2025-01-19 16:48:46,2025-01-19 16:50:21,80,15,answered,outbound,billing,resolved,4
200,19,60615,2025-01-20 12:35:35,2025-01-20 12:36:19,26,18,answered,inbound,contract,resolved,2
201,3,87090,2025-01-25 12:16:29,2025-01-25 12:27:26,11,646,answered,inbound,other,resolved,4
202,19,62262,2025-01-07 13:14:56,2025-01-07 13:15:36,18,22,answered,outbound,billing,resolved,4
203,20,47639,2025-01-20 17:05:41,2025-01-20 17:15:51,33,577,answered,inbound,billing,unresolved,1
204,7,88890,2025-01-23 11:59:40,2025-01-23 12:03:31,20,211,answered,inbound,technical,resolved,5
205,20,15289,2025-01-13 08:32:18,2025-01-13 08:33:37,35,44,missed,outbound,billing,unresolved,2
206,9,34744,2025-01-09 12:48:47,2025-01-09 12:50:54,32,95,answered,inbound,contract,resolved,2
207,1,27945,2025-01-12 12:05:51,2025-01-12 12:07:10,32,47,answered,inbound,technical,resolved,5
208,8,99779,2025-01-23 18:50:52,2025-01-23 18:52:13,33,48,answered,inbound,other,resolved,3
209,7,66964,2025-01-06 14:09:14,2025-01-06 14:12:36,15,187,abandoned,outbound,technical,unresolved,2
210,18,34227,2025-01-18 12:38:54,2025-01-18 12:41:26,79,73,answered,inbound,contract,unresolved,1
211,8,92494,2025-01-28 10:55:15,2025-01-28 11:01:24,30,339,abandoned,inbound,billing,unresolved,2
212,1,19934,2025-01-13 08:35:18,2025-01-13 08:37:33,1,134,answered,outbound,billing,unresolved,1
213,11,55530,2025-01-04 18:24:26,2025-01-04 18:25:33,13,54,answered,inbound,contract,unresolved,2
214,18,63168,2025-01-12 15:26:03,2025-01-12 15:27:03,50,10,answered,inbound,other,resolved,5
215,10,86086,2025-01-29 15:16:59,2025-01-29 15:20:23,43,161,answered,outbound,technical,unresolved,3
216,3,75095,2025-01-24 17:17:21,2025-01-24 17:25:47,8,498,missed,inbound,contract,unresolved,1
217,7,79560,2025-01-06 10:36:33,2025-01-06 10:42:52,253,126,answered,outbound,technical,resolved,4
218,16,41772,2025-01-11 15:23:44,2025-01-11 15:26:43,39,140,answered,outbound,technical,resolved,4
219,16,18722,2025-01-05 14:39:42,2025-01-05 14:40:53,15,56,answered,outbound,technical,resolved,5
220,20,60142,2025-01-04 09:29:14,2025-01-04 09:32:45,19,192,answered,outbound,billing,resolved,5
221,17,77656,2025-01-05 14:11:03,2025-01-05 14:14:50,100,127,abandoned,inbound,billing,unresolved,1
222,2,96884,2025-01-04 11:40:40,2025-01-04 11:44:47,22,225,answered,inbound,other,resolved,2
223,1,15877,2025-01-14 18:57:55,2025-01-14 18:58:29,11,23,answered,outbound,technical,resolved,5
224,16,28904,2025-01-27 15:22:00,2025-01-27 15:23:03,16,47,answered,inbound,other,resolved,5
225,12,96328,2025-01-24 18:26:03,2025-01-24 18:31:46,30,313,answered,inbound,billing,resolved,3
226,5,92871,2025-01-29 08:48:18,2025-01-29 08:58:37,6,613,abandoned,inbound,contract,unresolved,1
227,5,90195,2025-01-13 10:57:48,2025-01-13 11:02:56,2,306,answered,outbound,technical,resolved,5
228,9,39684,2025-01-24 11:43:51,2025-01-24 11:45:57,20,106,answered,inbound,contract,unresolved,3
229,9,76500,2025-01-14 13:40:56,2025-01-14 13:42:39,90,13,answered,outbound,billing,resolved,3
230,3,44902,2025-01-12 15:31:30,2025-01-12 15:39:28,104,374,abandoned,outbound,other,unresolved,2
231,19,63606,2025-01-17 19:41:57,2025-01-17 19:48:05,71,297,answered,outbound,technical,resolved,4
232,16,45571,2025-01-02 10:58:36,2025-01-02 11:08:24,7,581,answered,outbound,technical,resolved,5
233,16,79447,2025-01-16 12:12:57,2025-01-16 12:14:33,2,94,answered,inbound,billing,resolved,2
234,3,86752,2025-01-24 09:01:55,2025-01-24 09:05:56,30,211,answered,inbound,technical,unresolved,2
235,20,76944,2025-01-01 16:17:27,2025-01-01 16:18:43,45,31,missed,inbound,other,unresolved,1
236,1,97157,2025-01-05 10:36:11,2025-01-05 10:44:22,42,449,answered,inbound,technical,resolved,2
237,20,96513,2025-01-08 15:53:24,2025-01-08 15:57:12,12,216,answered,inbound,billing,resolved,1
238,11,88731,2025-01-07 09:32:55,2025-01-07 09:37:01,16,230,answered,inbound,technical,resolved,1
239,17,53938,2025-01-01 15:59:56,2025-01-01 16:05:34,137,201,answered,outbound,other,unresolved,2
240,8,67203,2025-01-17 14:04:13,2025-01-17 14:08:24,22,229,answered,inbound,contract,resolved,4
241,4,67805,2025-01-08 11:17:22,2025-01-08 11:18:32,41,29,answered,inbound,technical,unresolved,3
242,6,82649,2025-01-29 14:23:45,2025-01-29 14:27:35,27,203,abandoned,inbound,other,unresolved,2
243,8,50910,2025-01-25 13:02:52,2025-01-25 13:05:38,77,89,abandoned,inbound,technical,unresolved,1
244,20,32761,2025-01-14 10:41:08,2025-01-14 10:43:33,72,73,answered,outbound,billing,resolved,2
245,3,34992,2025-01-21 14:25:06,2025-01-21 14:26:41,41,54,abandoned,outbound,technical,unresolved,1
246,16,89314,2025-01-07 19:57:35,2025-01-07 20:05:21,107,359,answered,inbound,other,resolved,3
247,3,97521,2025-01-20 10:19:08,2025-01-20 10:23:18,9,241,answered,inbound,billing,resolved,4
248,18,65448,2025-01-21 13:51:44,2025-01-21 13:53:17,30,63,answered,inbound,contract,resolved,3
249,14,79903,2025-01-01 14:22:37,2025-01-01 14:23:07,10,20,answered,outbound,technical,resolved,5
250,18,55447,2025-01-20 17:31:55,2025-01-20 17:33:38,4,99,answered,inbound,contract,unresolved,1
251,2,20786,2025-01-28 15:16:56,2025-01-28 15:20:47,59,172,answered,outbound,billing,resolved,5
252,3,52706,2025-01-24 09:24:03,2025-01-24 09:24:50,37,10,abandoned,inbound,other,unresolved,3
253,16,86587,2025-01-26 19:53:47,2025-01-26 19:56:03,4,132,answered,inbound,contract,resolved,5
254,9,25611,2025-01-30 09:09:35,2025-01-30 09:12:53,179,19,answered,inbound,technical,resolved,3
255,4,14490,2025-01-02 19:24:46,2025-01-02 19:29:56,3,307,answered,inbound,billing,unresolved,1
256,1,60004,2025-01-09 12:50:02,2025-01-09 12:54:08,46,200,answered,inbound,billing,unresolved,1
257,4,70634,2025-01-17 15:02:27,2025-01-17 15:04:30,37,86,abandoned,outbound,billing,unresolved,2
258,1,16377,2025-01-04 09:55:34,2025-01-04 09:56:40,21,45,answered,inbound,billing,unresolved,2
259,14,19903,2025-01-14 19:10:01,2025-01-14 19:12:46,78,87,answered,outbound,other,unresolved,2
